"source_string","translated_string","context"
"Production Purchase Details","Detalles de la compra de producción"
"Suggested Supplier","Proveedor sugerido"
"Auto-filled from last purchase order","Rellenado automáticamente de la última orden de compra"
"Supplier Email","Correo electrónico del proveedor"
"Purchase Type","Tipo de compra"
"Estimated Arrival Date","Fecha de llegada estimada"
"Submit for Approval","Enviar para aprobación"
"Start Review","Iniciar revisión"
"Approve","Aprobar"
"Confirm Receipt","Confirmar recepción"
"Send to Supplier","Enviar a proveedor"
"Mark Pending Delivery","Marcar como pendiente de entrega"
"Pending Approval","Pendiente de aprobación"
"Approved","Aprobado"
"Sent to Supplier","Enviado a proveedor"
"Confirmed","Confirmado"
"Pending Delivery","Pendiente de entrega"
"Cancelled","Cancelado"
"Similar orders found within 3 days","Se encontraron órdenes similares dentro de los últimos 3 días"
"Please find attached the purchase request","Por favor, encuentra adjunto la solicitud de compra"
"Items","Artículos"
"Regards","Atentamente"
"A new Material Request is ready for review: ","Una nueva solicitud de material está lista para revisar: "
"Failed to send material request email","No se pudo enviar el correo de solicitud de material"
"Unable to notify Purchasing Manager","No se pudo notificar al gerente de compras"
"Purchasing Manager","Compras"
"Production Manager","Producción"
"Director","Director"
